text,rate
"I bought this because I wanted a cheap replacement cable for one that had a short. I'm pleasantly surprised with this cable. It's decent sound and decent build quality, for a good price.",5
"This is a very nice cable for the price. I already bent one end of it though, fortunately it still works fine. Inside the phono connector the wires are covered by white shrink plastic. Haven't noticed any hum or crackles. For sure a good buy.",4
Cheap and good texture rubber that does not get stiff. Only time will tell how well the soldering is. Sounds fine to me.,4
"Seems sturdy enough, and no noise issues, so I'm pretty much satified with it; it doesn't leave the house so I'm not asking it to handle a lot, but with reasonable care it should last a while.",5
"I'm not a professional, but have been playing for many, many years. This is the best cord I've ever had, though I'm sure Eric Clapton has something better.",5
"This Hosa Cable is very well made, with good quality connectors and a nice long length. My son is expanding his collection of amps and effects pedals so needed additional cables to get everything connected. This 25' cable gives him flexibility to move around and it is sturdy enough that it can take being stepped on and pulled around.The cable works well and is a good value for a decent quality cable.Highly Recommended!CFH",5
"I didn't expect this cable to be so thin. It's easily 1/2 the thickness of any guitar cable I've used. Not sure about long-term durability or signal loss/interference. If I had the foresight I'd spend a couple extra bucks on a thicker cable. Still, it works and was inexpensive.EDIT: 6 months later and it's dead already. Wire frayed at the right angle jack. You get what you pay for.",2
"Bought this for my daughter along with her new guitar. It seems to work well, no issues in the first couple of weeks.",5
"It hums, crackles, and I think I'm having problems with my equipment. As soon as I use any of my other cords then the problem is gone. Hosa makes some other products that have good value. But based on my experience I don't recommend this one.",1
"I am not hard on cables. I typically just plug them in to my guitar, dont move around much, and play for an hour or two a day. this one seem to perform just fine. no buzz, and/or other noises noted. I have several of them and they have all performed well.",4
"I have found Hosa cables to be an excellent value. More expensive cables may be more rugged, but for the price, I'm very happy with the Hosa's I have purchased.",5
"This is good cable. Excellent 1/4&#34; plugs. The lugs and solder joints are covered with heat shrink material, which will hold everything in place for years. Grade A+ cable at a very affordable price. Definitely going back for more. The 25 ft. cable was only a couple dollars more than 10 ft.",5
"Pretty crappy cable. It works and gets the job done, but after purchasing this product and using it, I will shell out the extra bucks for better quality.",5
I use this cord in my church to run from my pedalboard to my amp (which is in a soundproof box). The cord is reliable and clean sounding. I like it and have used HOSA products in the past with confidence. Excellent cord. Hopefully this review will be usefull to you.,5
"This my second Hosa guitar cable. (The other one is shorter.) Like my first Hosa cable, this is a high quality item. I'd definitely buy more cables of this brand.",4
"Works for practice ... it's a guitar instrument cable, what can I say ... maybe not the best but it serves it's purpose.",3
"These cables have taken a beating the last few months, and have served me well with no problems..Real metal ends, not molded on, with high quality silicone jackets and strain reliefs at the connectors..",5
In my opinion it does not hurt to have extra guitar cables around. From experience they tend to just die without notice. I have a feeling this one will last a long time. It is built sturdy and sounds really good.I recommend this product.,5
Hosa guitar cables work great. Never had any problems with them. I own several of different lengths and they all sound perfect.,5
This product does exactly what it is supposed to do at a decent price. I have absolutely no complaints. This is my first experience with the brand and I am not disappointed.,5
"Good quality guitar cord.Very low noise, repairable, effective strain releaf,thick rubber cover!! This is a great buy, under 10 bucks for a quality cord.Of course I just got it..it might not be durable but it looks durable.If I change my mind about anything I will update my review.For now, I would say, buy one!!Joe",5
"This is a good solid cable with no problems. When I'm on stage, I like a longer cable but at practice I don't need all the extra length tangleing up on everything...",5
This guitar cable is very nice. It looks high quality and has the white ends. Fantastic deal for this cable.,5
Good product at a good price. Have used it multiple times and works well with my guitar and speaker. Great to have when friends come over to jam.,4
This item is well built and I like the terminal ends and how they have the spring built in. These aren't going to be the most durable road cables but for home and light road use they will work well.,5
This amp plug is great for the price its 10 ft long the perfect size for jammin at home and it has a quality look to it aesthetically totally worth the price,5
"Hosa Cable GTR210 Guitar Instrument Cable - 10ft. is a High quality Instrument Cable, but low cost, won't break the bank. I'm very satisfied with my purchase.",5
...unbalanced guitar cable is notoriously noisy especially around florescent lights. These are no different. I would prefer to use cables with better shielding but cannot justify the expense considering how rarely these things get used.,3
"This is your basic, black electric guitar cable but it works great. So far the connections at both ends are solid and the sound from the amp is great! Nice and rubbery and 10 feet is long enough. If problems arise later with this cable, I will update this review, but as of now there has been no problems whatsoever with this cable.",5
"Hosa cable quality can be all over the place, some of their products are good (sound good, reliable, long lasting) and some of their products are not good (affect sound negatively, break prematurely, short useful life span).These guitar cords are actually quite nice, they feel good (gooey soft rubber jacket like Mogami), they sound good and so far they are working reliably, the rubber jacket is about .25&#34; in diameter (by eye) and there is a short heat shrink overwrap to add strength where the wire enters the plug.I bought these when I needed cables fast for an internet concert, we had lots of pedals and signal splits to connect up. These cables arrived in good working condition and we've been using them continuously since.We have over a dozen tube amps and are very particular about sound degradation but so far these cables have not disappointed anyone.I would buy more if I needed them.",4
"It's a cable, no frills, tangles pretty easy and due to it's design it might rattle a little when you move around but it works like it should",3
"I never really considered a cheaper cable, I was always taught to get the best I could afford. When this showed up in a cable search on amazon, I jumped on it. I figured I had nothing to lose.To my surprise, this is an excellent cable, with good build quality and a strong, thick jacket that inspires confidence. The sound through it is identical to my Monster cables, and it cost one quarter the price....hmmmm, guess I should have tried to figure this out myself instead of listening to &#34;snobs&#34; for so many years. I will never do that again.This is worth the money twice over, try it out for yourself and kiss overpriced cables goodbye!",5
"One end was loose, so I tightened it, it keeps coming loose so I had to put a dab of crazy glue on the threads, hope I don't ever have to open the end for repair.",3
"For the price, fantastic.They do feel light and I don't trust the build quality at the key stress points (where cable meets connector), but then again I am not going to push it.Set your guitar down on it by accident when it's plugged in and...who knows.But for seven bucks it gets the job done. Recommended if you are doing the ""beginner"" thing and testing the waters.Otherwise, spend a few more bucks for something with higher chances of lasting.",4
"Hosa makes good stuff, this is no exception. I've trusted them for years, I can't think if a single Hosa cable I've owned that's failed.",5
Only complaint is the size which is my fault. If you can buy at least a 15 foot if you plan to use it on stage.,4
"Hard to day too much, but it works great. No issues to speak of. It does the job perfectly well",5
"For the price, this works really well. I see no faults. It can unscrew pretty easily, but this is hardly a problem right now.",5
"This cable disproves the notion that you get what you pay for. It's quality outweighs its price. Let's face it, a cable is a cable is a cable. But the quality of these cables can vary greatly. I replaced a lighter cable with this one and I was surprised at the difference in the quality of the sound from my amp. I have an Ibanez ART series guitar into an Ibanez 15 watt amp set up in my home. With nothing changed but the cable, there was a significant difference in quality and volume. So much so that I checked with my guitar teacher who said he was not surprised. The quality appears good. The ends are heavy duty and the little bit of hum I had due to the proximity of everything was attenuated to the point where it was inconsequential. I've seen more expensive cables and this one is (so far) great.Hosa GTR210 Guitar Cable 10 Ft",5
I was looking for a long cable to perform live with my band and i'm glad with HOSA quality. It feels reliable and without adding noise.,5
"These are Good cables at a good price!! Not sure they would hold up to heavy use, but for practicing at home they are really great!",5
"very sturdy, high quality with little to no feedback, i use it for performing for my friends and they all love it",5
"Unless you're going to go for the very top of the line most expensive professional chords, these will do for any medium sized venue.",5
"I have many lengths of these Hosa cables and have neverhad a problem with them.I am not an active musician, so have not put any of them throughthe riggers of what happens on stage; so I cannot comment on thistype of usage.In my over 40 years (10 of them on stage) I have come to realize, thatyou should ALWAYS have extra cables (just like strings) with you, aseven the most expensive cables will sometimes let you down.",5
"I've been using these for about 3 weeks now - they are strong but flexible and don't seem to develop kinks or bending ""habits"" if you roll them up the proper way.I've seen and used some better cables but not at this price point. And I've certainly seen quite a few worse! This is a pretty good sweet spot, in my opinion.",4
"I'm a pro-cheapo and I hated this thing. They're noisy, and the cables feel really cheap, gummy-like. Drop few more bucks and get something else!",1
Works great on my 100 watt Amp. Almost compares to a monster cable. And with Its length Its plenty of Room from your Guitar to amp. GOOD PRODUCT!,5
"Good cable, as good as any expensive brand. Thick, a bit stiff and seems to be shielded. No complaints at all.",5
"I own lots of hosa cables they are cheap and quality is there. I've only recieved one bad cable out of around 50 or so. I use a lot of these guys and if they work when you get them, they havn't failed yet.",5
"It is a decent cable. It does its job, but it leaves much to be desired as far as structural integrity is concerned. The mating part of the connector jiggles back and forth. The switch is also loose. The connector will move around 2mm out of the microphone without the switch being pressed.'I would not recommend using this cable for critical applications. It would be more suited to home or hobby use.",3
the cable is great for connecting directly to the computer microphone to record live without a console or mixer...... its great i recomended,5
Bought this to hook up a Beta 58 to a Panasonic G2 DSLR and a Kodak Zi8 for interviews. Works the way it's supposed to. 90 degree TRS is a nice touch. Good price.,5
"Just received this cord and it seems to work as expected. What can you say about an adapter cord? It is well made, good construction and sound from my DSLR with my mic is superb.",5
"If you're like me, you probably bought this to hook up an XLR microphone to a digital recorder or a PC.It works fine for the handy type recorders.But forget hooking this directly to a PC. Way too much noise.",4
"I bought this for my Canon Vixia HF G10 Video Camera and a Shotgun Mic that I recently purchased for it. I needed a 12&#34; wire for it to be a perfect fit from my mic (which is mounted on the Mini Advanced Shoe) to the microphone plug on the Video Camera...The wire on this thing is *not* 1 foot long. the actual wire is under 8&#34; long itself. I would have returned this thing but it was cheap enough that it wasn't worth the hassle... I'd have rated it 1 star, but I tried it on my Nikon D3200 (Shoe mounted Shotgun Mike) and it worked out ok. Still a tight fit though (since there's only 8&#34; of wire)...I'd recommend anyone looking for a short cable go with a 2' adapter; worst case scenario, you can zip-tie a loop instead of getting angry that it doesn't fit.Also, not sure if it's the wire (so this didn't affect stars) but I hear a hiss when recording. Again; unsure if it's the way the wires are stretched out to the max on the DSLR or not (or my shotgun mic).",2
"Well made, XLR 3 pin adaptor to mini. Needed to get a real XLR mic into the computer and this did the job.",5
"The listing for this item can be confusing if you are not sure what stereo XLR is. Stereo XLR is meant to be similar to your stereo headphones, where left and right are separate unbalanced wires. This cable is configured to be a stereo unbalanced XLR to a stereo unbalanced TRS cable. This item is not a mono balanced XLR to a stereo unbalanced mic cable.A little bit a soldering can fix this connector by moving the red wire from ping #3 to pin #2 with the white wire. Pin #3 then ties to pin #1 with the ground wire.",5
"First, the reasons why I awarded this five stars: the construction is uniformly excellent. Both ends have strain reliefs, the 1/8"" connecter perfectly mates with the plug into which I insert it, and the XLR end is a quality component.I purchased this specifically to transform the third channels in myPowerwerks 50 Watt Personal P.A. Systeminto something more useable. This greatly expands the functionality and versatility of the portable PA by allowing me to plug in another mic. Since I have three of those units daisychained I was able to significantly enhance the entire system with this simple adapter.Another reason why I love this is it's noise free. In some environments in which I play there are sources of electromagnetic interference that cheap cables will pick up and transmit. I have not had that problem with this one, so it's another plus.Overall I am very pleased with this adapter and actually purchased a spare in case I damage or lose my primary one. It's a bit pricier than others I considered, but I feel that the quality and peace of mind are worth the premium.",5
I use this cable to run a extra line from microphone podiums to a zoom H1. This adapter has never failed me and has been instrumental in capturing quality audio at live events. I own several of these and love them.I highly recommend this adapter to any visual or audio professional. Also check out Hosa's sinlge XLR to double XLR splitter.,5
"This adapter cable for stereo mics to work with small DV cameras will function but with caveats.First, it's construction is pretty light weight. That means you will have to be ""gentle"" with it when using it. That's something none of us in the broadcast production field want to worry about since our gear gets pretty beat up.Second, the adapter only has a one foot in length cable on it. This is pretty short and may not reach to wherever the mic input jack is on your camera. That means you would need another short XLR mic cable to extend from the mic to this adapter.So just be aware that this may work fine for some and not work at all for others. I went to Sam Ash music and found a similar adapter cable, heavy duty, and with a longer cable for the same price. It pays to shop around!",4
"Well made. Works as it should. However, seem to be getting a little bit of noise from a shotgun mic straight into a D800. (more than the usual expected)To see if it was the Mic, cable, or adapter; Tested it going straight into a Zoom H4 recorder.Seems to be a little but more noise going through this adapter cable than straight into the XLR input.No big surprises. Minor clean up in post.",4
"Haven't used it yet but if it's like the other cables I have from the same company, it should work fine.",4
Great stereo sound out of the keyboards.My keys had a single 1/4&#34; stereo out so this cable was needed to get it to convert to a true 2 channel stereo so we could EQ it properly and it worked like a charm. I highly recommend this cable.,5
Another quality product from Hosa. Just what I needed for an insert patch from my mixer to EQ. I always like slightly longer length as I can always zip tie back but hard to stretch! No noise from this cable!,5
"When I ordered these I wasn't expecting a whole lot since the price was under two dollars for a nearly 10-foot cable. It turns out the quality is quite excellent and these cables are not flimsy at all. I plugged them into the mixer and waited to hear some static, interference or buzz to explain the low price and all I got was a nice, clean signal. Highly recommend these to anyone with a mixer that needs an insert cable.",5
"These are solid cables -- tight fit in receptacles, no introduction of noise, and no discernible loss of signal. Especially considering the price, these are brilliant. I was like some of the reviewers wondering if such an economical cable could be any good, but I trusted their judgment and gave these a try and so count me in among those who weren't sure but have become convinced that Hosa knows how to make a great cable, and to do so without the need to charge Monster Prices.",5
"On my mixer, I have send/returns on the same plug using a 3 wire TRS with send on the tip, return on the ring, and a common ground. But my effects boxes like to have separate 1/4"" TR ins and outs.This is the perfect cable for just such a hookup of things like the behringer sharkBehringer Shark FBQ100 Automatic Feedback Destroyerto the 1202-vlZ3's send/returnsMackie 1202-VLZ3 12-Ch. Compact Recording/SR MixerI probably will order a second cable having seen how well the first one worked out on a send/return.",5
"I still operate in an analog environment quite often, so I end up using lots of inserts. I have 8 channels of compression, limiter, gate and expander, plus various EQs and effects processors that need to be routed and applied to specific channels. I have an insert snake that I use as well, but the individual insert cables (of differing lengths) that I carry are lifesavers that make me a more efficient soundman during setup and a more flexible soundman during the show!",5
"I use these in my home studio as INSERTS and they work great. No complaints.On a side note, I always clean all my cables with CAIG DeoxIT Gold G5 Spray Contact Conditioner 5 oz.and hightly recommend it to all musicians, you will hear the differnce. I also spray a q-tip and and clean all the jacks on my guitars and instruments.",5
"When you need an audio insert cable, you need an audio insert cable.We custom manufacture insert cables for custom sound-reinforcement fixed installations. For mobile rigs, such as mixer cases with processing gear, it's simply not cost effective, and Hosa is our go-to brand for reliability and durability. There are other brands, but our reputation is at stake.Hosa allows us to maintain our good reputation, while lowering our labor costs. Thanks for such a dependable product, Hosa! Thanks for such a great price, Amazon!",5
I play my I-pod through a small guitar Amp. Great way to wake up the kids. Works perfectly for the purpose. Keep in mind small end for I-Pod is stereo and large end that goes into amp in mono. If needing a stereo jack at both ends get something else.,5
plugged it in and it works to connect a mono line out to the stereo input on a Lepai amp. not much else I can tell you,5
"I bought a few of these to hook iPods/iPhones to live stage sound systems, most of which are not in stereo anyway, so why use stereo-to-mono adapters or 2 separate channels when it's not needed? Perfect solution, seems durable.",5
"I carry this in my bass gig bag so I can plug my phone into the mono aux-input on the back of my Genz Benz bass head. Handy for rehearsals when the band needs to listen to a track while working out an arrangement (my bass cab is full range fEARful 15/6/1). Before picking this up, I used a couple of cables / adapters to go from stereo 1/8&#34; to mono 1/4&#34; and it often seemed I never had quite what I needed on hand.",5
"This is what it is... A super cheap mono cable. It should be sufficient for many needs and is cheap enough that thin wire gauge and such can be forgiven. Just be aware that it is cheap and unshielded, etc.For the price and intent, I almost gave it 5 stars. But it's not a 5-star cable... It's a fair quality ultra cheap cable. 4 stars seems about right. (Yes, this is almost exactly what I wrote about the other Hosa cable I reviewed.)",4
"It's hard not to love a cord that carries electrons all the way to the end. Not sure what, other than complete failure would take stars away.",5
